Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,ChanStr
gfp,100,10629,2.9525,P24,694,AFU,485,515,gfp100485515
gfp,100,10809,3.0025,L22,inf,AFU,485,515,gfp100485515
gfp,100,10809,3.0025,L23,inf,AFU,485,515,gfp100485515
gfp,100,10809,3.0025,L24,inf,AFU,485,515,gfp100485515
gfp,100,10809,3.0025,M22,950,AFU,485,515,gfp100485515
gfp,100,10809,3.0025,M23,923,AFU,485,515,gfp100485515
gfp,100,10809,3.0025,M24,863,AFU,485,515,gfp100485515
gfp,100,10809,3.0025,N22,90098,AFU,485,515,gfp100485515
gfp,100,10809,3.0025,N23,73383,AFU,485,515,gfp100485515
gfp,100,10809,3.0025,N24,82713,AFU,485,515,gfp100485515
gfp,100,10809,3.0025,O22,inf,AFU,485,515,gfp100485515
gfp,100,10809,3.0025,O23,inf,AFU,485,515,gfp100485515
gfp,100,10809,3.0025,O24,inf,AFU,485,515,gfp100485515
gfp,100,10809,3.0025,P22,2186,AFU,485,515,gfp100485515
gfp,100,10809,3.0025,P23,964,AFU,485,515,gfp100485515
gfp,100,10809,3.0025,P24,669,AFU,485,515,gfp100485515
gfp,100,10989,3.0525,L22,inf,AFU,485,515,gfp100485515
gfp,100,10989,3.0525,L23,inf,AFU,485,515,gfp100485515
gfp,100,10989,3.0525,L24,inf,AFU,485,515,gfp100485515
gfp,100,10989,3.0525,M22,960,AFU,485,515,gfp100485515
gfp,100,10989,3.0525,M23,909,AFU,485,515,gfp100485515
gfp,100,10989,3.0525,M24,901,AFU,485,515,gfp100485515
gfp,100,10989,3.0525,N22,92288,AFU,485,515,gfp100485515
gfp,100,10989,3.0525,N23,74986,AFU,485,515,gfp100485515
gfp,100,10989,3.0525,N24,87171,AFU,485,515,gfp100485515
gfp,100,10989,3.0525,O22,inf,AFU,485,515,gfp100485515
gfp,100,10989,3.0525,O23,inf,AFU,485,515,gfp100485515
gfp,100,10989,3.0525,O24,inf,AFU,485,515,gfp100485515
gfp,100,10989,3.0525,P22,2218,AFU,485,515,gfp100485515
gfp,100,10989,3.0525,P23,991,AFU,485,515,gfp100485515
gfp,100,10989,3.0525,P24,703,AFU,485,515,gfp100485515
gfp,100,11169,3.1025,L22,inf,AFU,485,515,gfp100485515
gfp,100,11169,3.1025,L23,inf,AFU,485,515,gfp100485515
gfp,100,11169,3.1025,L24,inf,AFU,485,515,gfp100485515
gfp,100,11169,3.1025,M22,975,AFU,485,515,gfp100485515
gfp,100,11169,3.1025,M23,907,AFU,485,515,gfp100485515
gfp,100,11169,3.1025,M24,988,AFU,485,515,gfp100485515
gfp,100,11169,3.1025,N22,89244,AFU,485,515,gfp100485515
gfp,100,11169,3.1025,N23,77300,AFU,485,515,gfp100485515
gfp,100,11169,3.1025,N24,86646,AFU,485,515,gfp100485515
gfp,100,11169,3.1025,O22,inf,AFU,485,515,gfp100485515
gfp,100,11169,3.1025,O23,inf,AFU,485,515,gfp100485515
gfp,100,11169,3.1025,O24,inf,AFU,485,515,gfp100485515
gfp,100,11169,3.1025,P22,2168,AFU,485,515,gfp100485515
gfp,100,11169,3.1025,P23,979,AFU,485,515,gfp100485515
gfp,100,11169,3.1025,P24,690,AFU,485,515,gfp100485515
gfp,100,11349,3.1525,L22,inf,AFU,485,515,gfp100485515
gfp,100,11349,3.1525,L23,inf,AFU,485,515,gfp100485515
gfp,100,11349,3.1525,L24,inf,AFU,485,515,gfp100485515
gfp,100,11349,3.1525,M22,1024,AFU,485,515,gfp100485515
gfp,100,11349,3.1525,M23,953,AFU,485,515,gfp100485515
