

Software Version	3.04.17



Experiment File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\20201006_psigmax_28_day2.xpt
Protocol File Path:	C:\Users\Biotek2\Box\biocircuits\Miki.Yun\MY_ gfp_485_515_091117_ protocol.prt



Plate Number	Plate 1
Date	10/6/2020
Time	9:42:45 AM
Reader Type:	Synergy H1
Reader Serial Number:	271275
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 29°C
	Preheat before moving to next step
Start Kinetic	Runtime 14:00:00 (HH:MM:SS), Interval 0:03:00, 281 Reads
    Read	gfp
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 61
	Filter Set 2
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B																									Well ID
C	SPL1	SPL2	SPL3	SPL4	SPL5																				Well ID
D																									Well ID
E																									Well ID
F																									Well ID
G																									Well ID
H																									Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

gfp:485,515

Time	T° gfp:485,515	C1	C2	C3	C4	C5
7:30:00	29.0	1675	79	5977	61	200
7:33:00	29.0	1699	77	5947	66	206
7:36:00	29.0	1733	89	5930	54	191
7:39:00	29.0	1746	80	6062	61	200
7:42:00	29.0	1737	76	6030	59	198
7:45:00	29.0	1773	76	6065	59	206
7:48:00	29.0	1759	78	5985	62	201
7:51:00	29.0	1768	76	5954	60	201
7:54:00	29.0	1772	79	6044	62	201
7:57:00	29.0	1772	82	6008	61	205
8:00:00	29.0	1790	82	6156	64	203
8:03:00	29.0	1785	83	6164	61	202
8:06:00	29.0	1774	79	6168	59	196
8:09:00	29.0	1787	87	6224	61	206
8:12:00	29.0	1803	80	6178	59	211
8:15:00	29.0	1825	75	6157	58	207
8:18:00	29.1	1815	86	6247	61	214
8:21:00	29.1	1840	85	6245	66	214
8:24:00	29.0	1806	85	5985	63	216
8:27:00	29.0	1836	86	6104	57	211
8:30:00	29.0	1847	88	6132	67	209
8:33:00	29.0	1888	81	6119	62	201
8:36:00	29.0	1888	82	6185	58	220
8:39:00	29.0	1868	81	6230	60	206
8:42:00	29.0	1905	83	6356	68	204
8:45:00	29.0	1881	86	6300	59	217
8:48:00	29.1	1887	92	6257	68	212
8:51:00	29.0	1923	83	6236	65	215
8:54:00	29.0	1877	76	6256	57	210
8:57:00	29.0	1918	88	6364	67	208
9:00:00	29.0	1884	88	6330	63	214
9:03:00	29.0	1937	92	6401	61	218
9:06:00	29.0	1944	88	6226	65	219
9:09:00	29.0	1938	82	6215	63	231
9:12:00	29.0	1928	90	6301	64	210
9:15:00	29.0	1954	94	6396	60	220
9:18:00	29.0	1982	87	6440	67	220
9:21:00	29.0	1944	98	6326	62	218
9:24:00	29.0	1956	87	6273	61	212
9:27:00	29.0	1957	92	6255	65	226
9:30:00	29.0	1950	93	6371	66	226
9:33:00	29.0	1973	87	6349	68	220
9:36:00	29.0	1972	95	6386	67	219
9:39:00	29.0	1989	96	6340	76	227
9:42:00	29.0	2012	93	6274	68	223
9:45:00	29.1	2008	93	6392	63	229
9:48:00	29.0	2040	93	6396	72	221
9:51:00	29.1	2001	97	6403	67	216
9:54:00	29.0	2024	94	6304	68	214
9:57:00	29.0	2041	96	6361	67	224
10:00:00	29.1	2046	100	6517	70	227
10:03:00	29.0	2020	81	6422	65	230
10:06:00	29.0	2093	90	6434	67	219
10:09:00	29.1	2050	87	6423	64	220
10:12:00	29.1	2044	107	6333	71	229
10:15:00	29.1	2026	98	6440	70	224
10:18:00	29.0	2062	103	6452	69	224
10:21:00	29.1	2072	99	6422	68	217
10:24:00	29.1	2059	96	6439	67	232
10:27:00	29.1	2089	96	6450	64	223
10:30:00	29.1	2087	100	6488	71	220
10:33:00	29.1	2102	97	6332	73	229
10:36:00	29.1	2130	102	6489	74	228
10:39:00	29.0	2114	93	6377	68	221
10:42:00	29.1	2098	91	6518	71	225
10:45:00	29.1	2077	93	6535	69	238
10:48:00	29.1	2143	98	6487	69	235
10:51:00	29.1	2117	93	6521	68	237
10:54:00	29.1	2154	97	6409	70	233
10:57:00	29.1	2117	99	6575	71	230
11:00:00	29.1	2090	90	6431	63	233
11:03:00	29.1	2128	94	6448	67	232
11:06:00	29.0	2106	92	6429	71	236
11:09:00	29.1	2135	100	6513	71	236
11:12:00	29.1	2108	100	6439	69	228
11:15:00	29.1	2132	101	6496	72	227
11:18:00	29.1	2145	95	6431	76	234
11:21:00	29.1	2153	94	6488	74	240
11:24:00	29.1	2191	99	6547	72	224
11:27:00	29.1	2153	98	6477	72	238
11:30:00	29.1	2160	98	6633	78	241
11:33:00	29.1	2133	95	6527	71	243
11:36:00	29.1	2132	97	6628	73	240
11:39:00	29.1	2158	98	6508	74	235
11:42:00	29.1	2161	107	6542	71	228
11:45:00	29.1	2143	101	6605	76	251
11:48:00	29.1	2159	96	6564	72	236
11:51:00	29.1	2138	96	6559	76	238
11:54:00	29.1	2150	98	6491	81	235
11:57:00	29.1	2171	105	6573	69	236
12:00:00	29.0	2212	104	6466	70	240
12:03:00	29.1	2170	103	6535	74	233
12:06:00	29.0	2139	90	6499	74	240
12:09:00	29.0	2170	108	6568	70	241
12:12:00	29.1	2193	100	6530	77	230
12:15:00	29.1	2171	107	6584	75	239
12:18:00	29.1	2231	100	6545	80	242
12:21:00	29.1	2196	107	6437	71	238
12:24:00	29.1	2193	108	6635	79	239
12:27:00	29.0	2218	90	6606	76	232
12:30:00	29.0	2203	102	6669	74	236
12:33:00	29.1	2191	110	6623	76	240
12:36:00	29.1	2213	101	6574	76	239
12:39:00	29.1	2196	106	6649	78	248
12:42:00	29.1	2213	108	6545	77	247
12:45:00	29.1	2216	111	6472	77	242
12:48:00	29.1	2209	106	6585	82	244
12:51:00	29.1	2236	108	6544	77	242
12:54:00	29.1	2230	105	6555	72	249
12:57:00	29.1	2199	108	6685	77	240
13:00:00	29.1	2194	99	6666	84	240
13:03:00	29.1	2213	100	6641	79	244
13:06:00	29.0	2196	111	6646	73	236
13:09:00	29.1	2203	103	6549	78	239
13:12:00	29.1	2172	108	6550	86	236
13:15:00	29.1	2179	111	6467	84	243
13:18:00	29.1	2211	108	6709	81	249
13:21:00	29.1	2203	110	6392	79	247
13:24:00	29.1	2223	98	6670	75	245
13:27:00	29.0	2220	112	6687	81	250
13:30:00	29.1	2222	107	6708	81	254
13:33:00	29.0	2227	112	6569	76	248
13:36:00	29.1	2179	108	6685	78	249
13:39:00	29.1	2188	116	6660	77	243
13:42:00	29.1	2242	111	6596	83	242
13:45:00	29.1	2211	109	6621	73	260
13:48:00	29.1	2212	110	6753	82	246
13:51:00	29.1	2186	112	6632	80	243
13:54:00	29.1	2213	109	6643	79	250
13:57:00	29.1	2220	112	6703	76	253
14:00:00	29.1	2223	111	6667	84	246

gfp:485,515[2]

Time	T° gfp:485,515[2]	C1	C2	C3	C4	C5
0:00:04	29.0	1062	1398	1378	1680	1654
0:03:04	29.1	1050	1400	1439	1643	926
0:06:04	29.1	1055	1411	1409	1595	703
0:09:04	29.0	1008	1372	1321	1437	824
0:12:04	29.0	1046	1226	1252	1065	895
0:15:04	29.0	1056	1223	1217	636	862
0:18:04	29.0	1078	1116	1096	586	892
0:21:04	29.0	1090	842	632	713	872
0:24:04	29.0	1176	516	475	778	777
0:27:04	29.0	1185	453	493	796	783
0:30:04	29.1	1231	413	492	817	841
0:33:04	29.0	1278	484	570	773	826
0:36:04	29.0	1350	615	689	749	851
0:39:04	29.0	1504	711	754	731	922
0:42:04	29.1	1622	761	896	790	957
0:45:04	29.0	1685	724	986	813	977
0:48:04	29.0	1713	735	1136	741	1020
0:51:04	29.0	1762	757	1397	761	1040
0:54:04	29.0	1811	714	1724	787	1094
0:57:04	29.0	2049	736	2140	778	1123
1:00:04	29.0	2242	713	2743	739	1172
1:03:04	29.0	2403	722	3291	735	1264
1:06:04	29.1	2693	685	4307	799	1287
1:09:04	29.0	3018	708	5261	772	1320
1:12:04	29.0	3313	686	6290	804	1351
1:15:04	29.0	3582	729	7592	807	1407
1:18:04	29.0	4017	705	8908	770	1423
1:21:04	29.0	4609	762	10447	814	1597
1:24:04	29.0	4993	709	11893	840	1538
1:27:04	29.0	5668	700	14288	815	1586
1:30:04	29.0	6271	717	16009	862	1763
1:33:04	29.0	7088	720	17914	851	1813
1:36:04	29.0	7595	770	19774	853	1818
1:39:04	29.0	8156	713	22408	864	1880
1:42:04	29.0	9039	741	24884	854	1863
1:45:04	29.0	9691	718	26926	974	2019
1:48:04	29.0	10027	770	29115	872	2048
1:51:04	29.0	10699	737	31572	918	2079
1:54:04	29.0	11404	793	34472	920	2145
1:57:04	29.1	11991	778	36717	991	2149
2:00:04	29.0	12425	791	39655	992	2242
2:03:04	29.0	13075	776	42999	948	2329
2:06:04	29.0	13874	830	44542	963	2340
2:09:04	29.0	14335	825	47317	995	2450
2:12:04	29.0	14842	854	50414	1016	2554
2:15:04	29.1	15491	887	51553	1018	2563
2:18:04	29.0	16280	909	54966	1044	2643
2:21:04	29.1	16962	923	57100	1039	2672
2:24:04	29.0	17287	882	60787	1052	2635
2:27:04	29.0	18166	880	64494	1128	2803
2:30:04	29.0	18754	925	64665	1071	2881
2:33:04	29.0	19372	897	68353	1096	2944
2:36:04	29.0	20077	928	72283	1152	2956
2:39:04	29.1	20452	932	73294	1150	2944
2:42:04	29.0	21766	935	76011	1126	3049
2:45:04	29.0	21380	1006	78418	1187	3269
2:48:04	29.0	22277	971	82222	1162	3273
2:51:04	29.0	23301	1027	83861	1239	3250
2:54:04	29.0	23616	1061	85634	1190	3376
2:57:04	29.1	24396	1095	87406	1164	3410
3:00:04	29.1	24816	1009	90208	1194	3437
3:03:04	29.1	25385	1058	91813	1239	3507
3:06:04	29.1	26082	1094	94481	1230	3619
3:09:04	29.1	27276	1116	96367	1175	3590
3:12:04	29.1	27260	1102	99989	1206	3673
3:15:04	29.1	27607	1127	OVRFLW	1216	3788
3:18:04	29.1	28722	1194	OVRFLW	1247	3897
3:21:04	29.1	28769	1182	OVRFLW	1221	3843
3:24:04	29.1	30024	1158	OVRFLW	1309	3917
3:27:04	29.1	29576	1159	OVRFLW	1318	3977
3:30:04	29.0	30370	1230	OVRFLW	1285	4070
3:33:04	29.1	30224	1259	OVRFLW	1310	4062
3:36:04	29.0	31338	1245	OVRFLW	1334	4050
3:39:04	29.0	32599	1322	OVRFLW	1340	4226
3:42:04	29.1	32265	1260	OVRFLW	1349	4299
3:45:04	29.1	33098	1371	OVRFLW	1390	4270
3:48:04	29.1	33558	1319	OVRFLW	1389	4366
3:51:04	29.0	34480	1360	OVRFLW	1416	4539
3:54:04	29.1	34642	1302	OVRFLW	1403	4481
3:57:04	29.1	35428	1376	OVRFLW	1462	4603
4:00:04	29.1	35475	1375	OVRFLW	1422	4638
4:03:04	29.1	36596	1397	OVRFLW	1460	4648
4:06:04	29.1	36426	1437	OVRFLW	1476	4740
4:09:04	29.1	37725	1456	OVRFLW	1485	4752
4:12:04	29.1	37812	1425	OVRFLW	1401	4881
4:15:04	29.1	38874	1472	OVRFLW	1423	4749
4:18:04	29.1	39124	1381	OVRFLW	1455	4880
4:21:04	29.1	38994	1488	OVRFLW	1529	4977
4:24:04	29.1	38893	1500	OVRFLW	1447	4963
4:27:04	29.0	39961	1511	OVRFLW	1582	5058
4:30:04	29.1	41044	1576	OVRFLW	1597	5133
4:33:04	29.1	40905	1522	OVRFLW	1562	5106
4:36:04	29.1	41268	1588	OVRFLW	1629	5179
4:39:04	29.1	42042	1574	OVRFLW	1629	5181
4:42:04	29.1	42117	1698	OVRFLW	1662	5181
4:45:04	29.1	42483	1599	OVRFLW	1663	5145
4:48:04	29.0	43280	1615	OVRFLW	1541	5344
4:51:04	29.0	43185	1699	OVRFLW	1597	5283
4:54:04	29.1	43990	1679	OVRFLW	1684	5649
4:57:04	29.1	44015	1752	OVRFLW	1682	5531
5:00:04	29.1	44483	1706	OVRFLW	1666	5458
5:03:04	29.0	44510	1740	OVRFLW	1663	5620
5:06:04	29.1	45067	1752	OVRFLW	1666	5755
5:09:04	29.1	46069	1794	OVRFLW	1769	5624
5:12:04	29.1	46562	1806	OVRFLW	1716	5778
5:15:04	29.1	46252	1835	OVRFLW	1735	5909
5:18:04	29.1	46789	1971	OVRFLW	1758	5826
5:21:04	29.1	47096	1885	OVRFLW	1799	5889
5:24:04	29.1	47133	1988	OVRFLW	1790	5882
5:27:04	29.1	48212	1907	OVRFLW	1759	6026
5:30:04	29.1	48919	1979	OVRFLW	1764	5851
5:33:04	29.1	49499	1935	OVRFLW	1750	6082
5:36:04	29.1	47597	2033	OVRFLW	1777	6099
5:39:04	29.1	48781	1975	OVRFLW	1847	5978
5:42:04	29.1	50128	2017	OVRFLW	1816	6129
5:45:04	29.0	50505	2022	OVRFLW	1825	6142
5:48:04	29.0	50300	2109	OVRFLW	1870	6033
5:51:04	29.0	50666	2139	OVRFLW	1924	6105
5:54:04	29.0	51486	2047	OVRFLW	1864	6253
5:57:04	29.0	52196	2206	OVRFLW	1954	6311
6:00:04	29.0	51679	2192	OVRFLW	1870	6431
