Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,ChanStr
gfp,61,1080,0.3,E1,51,AFU,485,515,gfp61485515
gfp,61,1080,0.3,E2,48,AFU,485,515,gfp61485515
gfp,61,1080,0.3,F1,3610,AFU,485,515,gfp61485515
gfp,61,1080,0.3,F2,4160,AFU,485,515,gfp61485515
gfp,61,1080,0.3,G1,7770,AFU,485,515,gfp61485515
gfp,61,1080,0.3,G2,7382,AFU,485,515,gfp61485515
gfp,61,1080,0.3,H1,2789,AFU,485,515,gfp61485515
gfp,61,1080,0.3,H2,3159,AFU,485,515,gfp61485515
gfp,61,1080,0.3,I1,519,AFU,485,515,gfp61485515
gfp,61,1080,0.3,I2,509,AFU,485,515,gfp61485515
gfp,61,1260,0.35,A1,4724,AFU,485,515,gfp61485515
gfp,61,1260,0.35,A2,4575,AFU,485,515,gfp61485515
gfp,61,1260,0.35,B1,136,AFU,485,515,gfp61485515
gfp,61,1260,0.35,B2,141,AFU,485,515,gfp61485515
gfp,61,1260,0.35,C1,3613,AFU,485,515,gfp61485515
gfp,61,1260,0.35,C2,4147,AFU,485,515,gfp61485515
gfp,61,1260,0.35,D1,4838,AFU,485,515,gfp61485515
gfp,61,1260,0.35,D2,4236,AFU,485,515,gfp61485515
gfp,61,1260,0.35,E1,46,AFU,485,515,gfp61485515
gfp,61,1260,0.35,E2,54,AFU,485,515,gfp61485515
gfp,61,1260,0.35,F1,3635,AFU,485,515,gfp61485515
gfp,61,1260,0.35,F2,4082,AFU,485,515,gfp61485515
gfp,61,1260,0.35,G1,7595,AFU,485,515,gfp61485515
gfp,61,1260,0.35,G2,7311,AFU,485,515,gfp61485515
gfp,61,1260,0.35,H1,2778,AFU,485,515,gfp61485515
gfp,61,1260,0.35,H2,3119,AFU,485,515,gfp61485515
gfp,61,1260,0.35,I1,514,AFU,485,515,gfp61485515
gfp,61,1260,0.35,I2,494,AFU,485,515,gfp61485515
gfp,61,1440,0.4,A1,4719,AFU,485,515,gfp61485515
gfp,61,1440,0.4,A2,4543,AFU,485,515,gfp61485515
gfp,61,1440,0.4,B1,133,AFU,485,515,gfp61485515
gfp,61,1440,0.4,B2,132,AFU,485,515,gfp61485515
gfp,61,1440,0.4,C1,3583,AFU,485,515,gfp61485515
gfp,61,1440,0.4,C2,3991,AFU,485,515,gfp61485515
gfp,61,1440,0.4,D1,4833,AFU,485,515,gfp61485515
gfp,61,1440,0.4,D2,4183,AFU,485,515,gfp61485515
gfp,61,1440,0.4,E1,46,AFU,485,515,gfp61485515
gfp,61,1440,0.4,E2,39,AFU,485,515,gfp61485515
gfp,61,1440,0.4,F1,3607,AFU,485,515,gfp61485515
gfp,61,1440,0.4,F2,4152,AFU,485,515,gfp61485515
gfp,61,1440,0.4,G1,7777,AFU,485,515,gfp61485515
gfp,61,1440,0.4,G2,7324,AFU,485,515,gfp61485515
gfp,61,1440,0.4,H1,2783,AFU,485,515,gfp61485515
gfp,61,1440,0.4,H2,3120,AFU,485,515,gfp61485515
