

Software Version	3.04.17



Experiment File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\20201005_psigmax_plac_day1.xpt
Protocol File Path:	C:\Users\Biotek2\Box\biocircuits\Miki.Yun\MY_ gfp_485_515_091117_ protocol.prt



Plate Number	Plate 1
Date	10/5/2020
Time	12:07:36 PM
Reader Type:	Synergy H1
Reader Serial Number:	271275
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 29°C
	Preheat before moving to next step
Start Kinetic	Runtime 14:00:00 (HH:MM:SS), Interval 0:03:00, 281 Reads
    Read	gfp
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 61
	Filter Set 2
	    Excitation: 485,  Emission: 515
	    Optics: Bottom,  Gain: 100
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 9.5 mm
End Kinetic	

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6	SPL7																		Well ID
B																									Well ID
C																									Well ID
D																									Well ID
E																									Well ID
F																									Well ID
G																									Well ID
H																									Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

gfp:485,515

Time	T° gfp:485,515	A1	A2	A3	A4	A5	A6	A7
0:33:05	29.0	946	12388	3677	8536	10825	18498	14729
0:36:05	29.0	930	13816	4290	9556	12874	21486	17758
0:39:05	29.0	909	15044	4713	10941	14940	25331	20999
0:42:05	29.0	986	16448	5332	12741	17025	28910	23742
0:45:05	29.0	942	17977	6210	14783	19564	32388	26805
0:48:05	29.1	977	19132	7026	16655	22442	36182	30038
0:51:05	29.0	949	20465	7791	18590	25082	38944	33940
0:54:05	29.0	938	22316	8552	20270	27603	43293	37350
0:57:05	29.0	994	23644	9377	22433	29376	47047	40879
1:00:05	29.0	981	24984	10284	24443	32011	50803	44059
1:03:05	29.0	982	26052	11435	26374	35479	51844	46855
1:06:05	29.0	1013	27709	11850	29115	37411	55869	49816
1:09:05	29.0	938	29660	13312	31251	40677	58516	52224
1:12:05	29.0	992	30382	14079	33245	42702	61225	55704
1:15:05	29.0	1051	32800	15078	35455	44801	63209	58788
1:18:05	29.0	1029	33838	16414	37415	48310	66592	61279
1:21:05	29.0	993	35362	17498	38964	50896	68805	63490
1:24:05	29.0	1036	37121	18611	41186	53512	71194	66084
1:27:05	29.0	1065	38256	19931	43783	54318	72638	68397
1:30:05	29.0	988	39517	21241	45499	57081	74803	70941
1:33:05	29.0	1040	40908	22240	48340	59347	76213	73053
1:36:05	29.0	1072	42652	23196	50265	62453	78738	75526
1:39:05	29.1	1069	44287	24425	52594	63189	80599	77255
1:42:05	29.0	1029	45911	26117	53939	65427	82661	78860
1:45:05	29.1	1067	48049	26638	54200	68273	83323	81128
1:48:05	29.1	1105	49321	28347	55856	70290	84007	81802
1:51:05	29.1	1114	50738	29181	58331	72049	88326	84260
1:54:05	29.1	1081	52928	30522	61374	73533	88023	85295
1:57:05	29.1	1150	54333	31939	62474	75770	89847	87091
2:00:05	29.1	1083	56511	33443	66469	79587	90517	88695
2:03:05	29.1	1190	57801	33860	67347	81778	92321	90836
2:06:05	29.1	1134	59837	35870	68675	80974	95607	92291
2:09:05	29.1	1166	62188	37214	71446	84429	95062	93565
2:12:05	29.1	1147	63200	37878	71375	86230	96907	96781
2:15:05	29.1	1187	64618	40022	74665	87447	96238	96334
2:18:05	29.1	1159	66165	40253	75852	90119	OVRFLW	99347
2:21:05	29.1	1168	68617	42093	78348	92104	OVRFLW	OVRFLW
2:24:05	29.1	1199	70898	43092	78390	93263	OVRFLW	OVRFLW
2:27:05	29.1	1262	71750	43741	81007	94919	OVRFLW	OVRFLW
2:30:05	29.1	1211	73967	45599	82043	96472	OVRFLW	OVRFLW
2:33:05	29.1	1191	76067	47119	84767	97408	OVRFLW	OVRFLW
2:36:05	29.1	1227	76255	47350	85283	OVRFLW	OVRFLW	OVRFLW
2:39:05	29.1	1224	79414	49030	88615	OVRFLW	OVRFLW	OVRFLW
2:42:05	29.1	1277	81541	49592	90438	OVRFLW	OVRFLW	OVRFLW
2:45:05	29.1	1291	82764	52216	91692	OVRFLW	OVRFLW	OVRFLW
2:48:05	29.0	1300	84957	51970	92772	OVRFLW	OVRFLW	OVRFLW
2:51:05	29.1	1267	85118	53428	95478	OVRFLW	OVRFLW	OVRFLW
2:54:05	29.1	1264	88035	55600	96855	OVRFLW	OVRFLW	OVRFLW
2:57:05	29.1	1278	88379	56802	98660	OVRFLW	OVRFLW	OVRFLW
3:00:05	29.0	1331	92000	57945	98461	OVRFLW	OVRFLW	OVRFLW
3:03:05	29.1	1288	93654	58184	OVRFLW	OVRFLW	OVRFLW	OVRFLW
3:06:05	29.1	1320	94607	59160	OVRFLW	OVRFLW	OVRFLW	OVRFLW
3:09:05	29.1	1343	96442	61052	OVRFLW	OVRFLW	OVRFLW	OVRFLW
3:12:05	29.0	1355	97348	61410	OVRFLW	OVRFLW	OVRFLW	OVRFLW
3:15:05	29.1	1301	99774	62715	OVRFLW	OVRFLW	OVRFLW	OVRFLW
3:18:05	29.0	1360	OVRFLW	63854	OVRFLW	OVRFLW	OVRFLW	OVRFLW
3:21:05	29.0	1328	OVRFLW	67078	OVRFLW	OVRFLW	OVRFLW	OVRFLW
3:24:05	29.0	1373	OVRFLW	67288	OVRFLW	OVRFLW	OVRFLW	OVRFLW
3:27:05	29.0	1404	OVRFLW	67148	OVRFLW	OVRFLW	OVRFLW	OVRFLW
3:30:05	29.0	1510	OVRFLW	69813	OVRFLW	OVRFLW	OVRFLW	OVRFLW
3:33:05	29.0	1464	OVRFLW	71001	OVRFLW	OVRFLW	OVRFLW	OVRFLW
3:36:05	29.0	1438	OVRFLW	70376	OVRFLW	OVRFLW	OVRFLW	OVRFLW
3:39:05	29.1	1456	OVRFLW	72952	OVRFLW	OVRFLW	OVRFLW	OVRFLW
3:42:05	29.0	1481	OVRFLW	73864	OVRFLW	OVRFLW	OVRFLW	OVRFLW
3:45:05	29.0	1471	OVRFLW	72953	OVRFLW	OVRFLW	OVRFLW	OVRFLW
3:48:05	29.0	1446	OVRFLW	75482	OVRFLW	OVRFLW	OVRFLW	OVRFLW
3:51:05	29.0	1525	OVRFLW	74870	OVRFLW	OVRFLW	OVRFLW	OVRFLW
3:54:05	29.0	1521	OVRFLW	77268	OVRFLW	OVRFLW	OVRFLW	OVRFLW
3:57:05	29.0	1520	OVRFLW	77964	OVRFLW	OVRFLW	OVRFLW	OVRFLW
4:00:05	29.0	1588	OVRFLW	78250	OVRFLW	OVRFLW	OVRFLW	OVRFLW
4:03:05	29.0	1591	OVRFLW	79572	OVRFLW	OVRFLW	OVRFLW	OVRFLW
4:06:05	29.0	1578	OVRFLW	79898	OVRFLW	OVRFLW	OVRFLW	OVRFLW
4:09:05	29.1	1647	OVRFLW	81365	OVRFLW	OVRFLW	OVRFLW	OVRFLW
4:12:05	29.1	1606	OVRFLW	80787	OVRFLW	OVRFLW	OVRFLW	OVRFLW
4:15:05	29.0	1615	OVRFLW	83455	OVRFLW	OVRFLW	OVRFLW	OVRFLW
4:18:05	29.1	1613	OVRFLW	84372	OVRFLW	OVRFLW	OVRFLW	OVRFLW
