Software Version	3.04.17																								
																									
																									
																									
Experiment File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\20201105_gfp_miscinbeg.xpt																								
Protocol File Path:	C:\Users\Biotek2\Box\biocircuits\Ankita\gfp_24hr_protocol.prt																								
																									
																									
																									
Plate Number	Plate 1																								
Date	11/5/20																								
Time	5:53:13 PM																								
Reader Type:	Synergy H1																								
Reader Serial Number:	271275																								
Reading Type	Reader																								
																									
Procedure Details																									
																									
Plate Type	384 WELL PLATE																								
Well Selection	Runtime																								
Eject plate on completion																									
Set Temperature	Setpoint 34°C																								
	Preheat before moving to next step																								
Start Kinetic	"Runtime 24:00:00 (HH:MM:SS), Interval 0:03:00, 481 Reads"																								
    Read	gfp																								
	Fluorescence Endpoint																								
	Full Plate																								
7:36:00	34	813	1714	85	73	1559	2645	2751	2710	22	21	684	741	3728	3509	2627	2359	65	54						
7:39:00	34	819	1714	85	81	1562	2621	2717	2765	20	12	695	747	3768	3455	2574	2336	71	66						
7:42:00	34	828	1747	89	78	1543	2727	2664	2705	23	13	700	737	3712	3580	2580	2324	68	67						
7:45:00	34	842	1709	83	76	1544	2629	2762	2777	24	21	690	752	3753	3544	2559	2317	68	58						
7:48:00	34	842	1675	85	71	1557	2695	2738	2720	26	23	677	766	3756	3530	2600	2401	76	63						
7:51:00	34	838	1740	85	74	1549	2692	2712	2735	19	29	675	760	3752	3566	2605	2348	72	57						
7:54:00	34	833	1740	100	75	1532	2717	2752	2778	18	18	691	763	3720	3501	2629	2339	73	63						
7:57:00	34	821	1741	95	75	1565	2702	2750	2785	25	16	698	751	3816	3552	2608	2381	74	64						
8:00:00	34	851	1696	88	83	1589	2678	2767	2767	16	19	697	757	3779	3613	2603	2383	73	63						
8:03:00	34	829	1734	87	83	1537	2683	2779	2708	18	29	704	762	3836	3562	2585	2346	73	67						
8:06:00	34	841	1692	93	79	1565	2704	2745	2782	16	21	704	755	3785	3572	2634	2392	83	70						
8:09:00	34	846	1752	90	78	1552	2696	2743	2733	25	19	692	757	3803	3570	2595	2382	77	67						
8:12:00	34	839	1760	89	82	1568	2630	2747	2723	19	27	696	754	3776	3504	2598	2390	76	57						
8:15:00	34	821	1774	94	84	1574	2689	2713	2817	17	27	710	768	3733	3658	2612	2381	74	66						
8:18:00	34	844	1774	100	77	1582	2678	2801	2737	24	23	696	747	3816	3602	2610	2370	77	63						
8:21:00	34	844	1793	99	76	1572	2741	2785	2781	21	25	697	766	3802	3576	2654	2350	76	68						
8:24:00	34	834	1758	86	82	1558	2692	2722	2769	33	26	708	743	3913	3586	2648	2398	72	68						
8:27:00	34	857	1753	102	73	1584	2670	2704	2758	23	22	703	782	3851	3634	2596	2353	75	61						
8:30:00	34	839	1825	90	80	1562	2725	2763	2819	19	14	710	771	3881	3568	2667	2434	74	67						
8:33:00	34	854	1755	100	96	1592	2717	2787	2792	28	20	719	769	3885	3651	2642	2345	69	67						
8:36:00	34	834	1806	98	79	1572	2714	2797	2793	26	18	711	771	3815	3603	2622	2374	77	69						
8:39:00	34	832	1788	98	80	1585	2725	2769	2814	25	22	727	775	3840	3692	2656	2375	75	63						
8:42:00	34	875	1785	102	82	1559	2725	2801	2790	32	18	713	773	3840	3621	2608	2380	79	69						
8:45:00	34	859	1812	94	80	1619	2696	2801	2824	19	22	713	777	3826	3668	2640	2370	82	62						
8:48:00	34	879	1805	96	84	1603	2748	2801	2835	24	22	715	761	3899	3689	2671	2391	79	62						
8:51:00	34	835	1792	100	88	1576	2746	2820	2831	22	21	714	789	3951	3597	2697	2423	74	70						
8:54:00	34	853	1791	96	86	1596	2694	2809	2817	22	19	722	773	3889	3702	2715	2397	77	67						
8:57:00	34	866	1783	95	81	1591	2732	2845	2825	24	30	727	783	3914	3721	2630	2392	81	78						
9:00:00	34	882	1794	102	84	1619	2729	2800	2819	24	22	717	786	3957	3694	2676	2398	74	67						
9:03:00	34	867	1817	99	93	1607	2749	2776	2853	19	19	722	796	3930	3578	2691	2353	74	67						
9:06:00	34	865	1814	96	89	1603	2736	2837	2796	23	20	718	785	3890	3727	2646	2430	74	67						
9:09:00	34	852	1791	91	79	1607	2733	2852	2843	17	21	737	777	3842	3630	2641	2410	72	75						
9:12:00	34.1	884	1829	93	80	1597	2698	2806	2807	25	24	717	798	3877	3705	2708	2413	78	67						
9:15:00	34	865	1839	96	93	1590	2722	2843	2865	27	22	725	776	3980	3682	2655	2418	67	62						
9:18:00	34	873	1765	95	76	1606	2771	2800	2829	27	17	723	796	3910	3709	2610	2399	79	68						
9:21:00	34	873	1790	99	86	1593	2696	2778	2789	24	21	730	781	3943	3777	2683	2398	73	70						
9:24:00	34	877	1810	103	86	1617	2745	2840	2844	30	24	722	792	3922	3776	2676	2409	81	72						
9:27:00	34	867	1813	100	88	1586	2730	2839	2816	24	28	727	786	4055	3746	2710	2441	76	71						
9:30:00	34	891	1844	97	99	1581	2702	2847	2851	22	17	731	775	3951	3732	2684	2415	79	71						
9:33:00	34	873	1834	99	89	1596	2750	2849	2854	16	24	724	794	3924	3768	2671	2370	77	67						
9:36:00	34	887	1834	88	96	1586	2770	2787	2861	26	26	727	794	3924	3770	2690	2396	77	69						
9:39:00	33.9	882	1833	95	88	1603	2790	2859	2847	19	21	733	799	3926	3718	2685	2396	70	66						
9:42:00	34	880	1855	99	92	1613	2788	2907	2825	17	19	731	798	3969	3676	2682	2384	80	64						
9:45:00	34	876	1840	106	89	1590	2761	2859	2849	22	24	726	795	3948	3742	2718	2456	81	72						
9:48:00	34	898	1852	91	86	1605	2754	2793	2879	20	22	746	807	3990	3776	2683	2463	80	66						
9:51:00	34	855	1834	109	83	1585	2770	2846	2859	31	24	726	803	3990	3721	2684	2403	73	70						
9:54:00	34	884	1861	104	86	1581	2744	2832	2849	23	12	720	795	4008	3729	2706	2418	80	69						
9:57:00	34	883	1817	107	88	1606	2830	2809	2887	30	24	713	793	4057	3781	2676	2396	80	70						
10:00:00	34	878	1838	100	90	1585	2731	2857	2898	16	22	745	790	4001	3756	2649	2411	82	75						
10:03:00	34	896	1888	96	84	1595	2748	2857	2891	22	19	731	800	4002	3823	2662	2369	89	75						
10:06:00	34	883	1851	100	83	1609	2759	2884	2866	20	14	728	785	4049	3751	2711	2409	81	66						
10:09:00	34	891	1872	104	91	1606	2750	2872	2857	22	10	738	810	4032	3808	2668	2403	85	84						
10:12:00	34	876	1846	105	91	1599	2768	2848	2926	28	16	745	799	3999	3759	2661	2456	80	74						
10:15:00	34	890	1868	105	95	1626	2739	2881	2851	22	21	725	788	4045	3803	2706	2437	83	67						
10:18:00	34	886	1850	103	86	1590	2780	2821	2864	26	28	728	795	4008	3748	2689	2397	82	66						
10:21:00	34	906	1818	109	71	1612	2759	2849	2865	31	23	720	797	3955	3786	2718	2436	88	74						
10:24:00	34	888	1846	101	90	1605	2744	2878	2918	25	21	718	794	4077	3814	2715	2432	83	68						
10:27:00	34	899	1871	101	87	1622	2749	2894	2855	18	22	734	787	4068	3834	2724	2423	82	70						
10:30:00	34	921	1862	108	87	1615	2729	2863	2897	24	19	737	812	3999	3857	2719	2427	81	79						
10:33:00	34	899	1882	107	96	1632	2823	2902	2881	30	28	728	787	4059	3834	2720	2443	79	72						
