Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,ChanStr
gfp,61,16920,4.7,C14,97,AFU,485,515,gfp61485515
gfp,61,16920,4.7,D12,92,AFU,485,515,gfp61485515
gfp,61,16920,4.7,D13,64,AFU,485,515,gfp61485515
gfp,61,16920,4.7,D14,73,AFU,485,515,gfp61485515
gfp,61,16920,4.7,E12,125,AFU,485,515,gfp61485515
gfp,61,16920,4.7,E13,124,AFU,485,515,gfp61485515
gfp,61,16920,4.7,E14,110,AFU,485,515,gfp61485515
gfp,61,16920,4.7,F12,6,AFU,485,515,gfp61485515
gfp,61,16920,4.7,F13,9,AFU,485,515,gfp61485515
gfp,61,16920,4.7,F14,0,AFU,485,515,gfp61485515
gfp,61,17100,4.75,B12,3504,AFU,485,515,gfp61485515
gfp,61,17100,4.75,B13,3038,AFU,485,515,gfp61485515
gfp,61,17100,4.75,B14,3070,AFU,485,515,gfp61485515
gfp,61,17100,4.75,C12,113,AFU,485,515,gfp61485515
gfp,61,17100,4.75,C13,106,AFU,485,515,gfp61485515
gfp,61,17100,4.75,C14,98,AFU,485,515,gfp61485515
gfp,61,17100,4.75,D12,98,AFU,485,515,gfp61485515
gfp,61,17100,4.75,D13,69,AFU,485,515,gfp61485515
gfp,61,17100,4.75,D14,79,AFU,485,515,gfp61485515
gfp,61,17100,4.75,E12,123,AFU,485,515,gfp61485515
gfp,61,17100,4.75,E13,124,AFU,485,515,gfp61485515
gfp,61,17100,4.75,E14,110,AFU,485,515,gfp61485515
gfp,61,17100,4.75,F12,15,AFU,485,515,gfp61485515
gfp,61,17100,4.75,F13,5,AFU,485,515,gfp61485515
gfp,61,17100,4.75,F14,21,AFU,485,515,gfp61485515
gfp,61,17280,4.8,B12,3462,AFU,485,515,gfp61485515
gfp,61,17280,4.8,B13,3093,AFU,485,515,gfp61485515
gfp,61,17280,4.8,B14,3021,AFU,485,515,gfp61485515
gfp,61,17280,4.8,C12,106,AFU,485,515,gfp61485515
